model,trace_id,pre_rate,post_rate,n_pre,n_post
deepseek-r1-distill-llama-8b,7b02ff7a706095d730e77a93b9c64de8ec3422fd5edafa4869221e30b1e928bf,0.0,0.21739130434782608,8,23
deepseek-r1-distill-llama-8b,7c421ce91de8f65fee6e42cf0049ec206b032f90447198a1a5a89f899512387d,0.6153846153846154,0.6,26,10
deepseek-r1-distill-llama-8b,80ceea1f485a1faab44e317d91dd81aae3f490f471b88991eadcf56472cbf6f7,0.0,0.16666666666666666,11,6
deepseek-r1-distill-llama-8b,8134b43e68f481c803ca9f5303cd73f373c60bc302026892540d876851a480d1,0.043478260869565216,0.25,23,8
deepseek-r1-distill-llama-8b,830a0e60fefe99d85ea44da9853accef33ce9731864797193e2ad9e526f20c67,0.7,0.625,10,8
deepseek-r1-distill-llama-8b,863f3097f141209f2e1f9e8a82acfafd8b951a39bd9b5b7751c4ffc7857db6e2,0.2222222222222222,0.25,18,8
deepseek-r1-distill-llama-8b,87e90bb2c5913ea6261d0b77b02c91d5de5fde0db73bb215e249cba07b385161,0.41379310344827586,0.5555555555555556,29,18
deepseek-r1-distill-llama-8b,89705211939e26e0566e0900300b70b83d79dced6081833aba9bed0c9ccc8c99,0.2857142857142857,0.4,14,5
deepseek-r1-distill-llama-8b,900fd60f7c2273d0b48bd4fa1a326c272d039613176ebd0a95788e7922abc405,0.4,0.06666666666666667,5,15
deepseek-r1-distill-llama-8b,901a2c8dacdc14d66a8e2cdb38ab067847723a237cdfb30171eedccc28d50938,0.0,0.25,18,16
deepseek-r1-distill-llama-8b,906e7d16ee2f621bd40bb1479616e7ae56796b4082a77b6843a018e69ad5c2f2,0.7333333333333333,0.5714285714285714,15,7
deepseek-r1-distill-llama-8b,92bbdf14896503e1feb0bb000b26c4115a7d47d8b5e4ecfb9a0b4c037a806f3e,0.25,0.23076923076923078,8,13
deepseek-r1-distill-llama-8b,93091ad1b5205f3c5dea04749c0f5cff95ff6e8a52c1e26308504f4ec7f0415d,0.2,0.4,15,5
deepseek-r1-distill-llama-8b,96c3d260d41a8e21c2d085feb4928e9d442f52e01e307be35448a9495345655b,0.9615384615384616,0.3333333333333333,26,6
deepseek-r1-distill-llama-8b,98e5eaf2d9d8395500a37bffba1025224702ebb1716a3eace63609b25feb768a,0.25,0.6666666666666666,16,6
deepseek-r1-distill-llama-8b,9c809905529b9af68322a5e26886ee31418bb20a756a80462e6c1837a8aeb404,0.05555555555555555,0.5,18,6
deepseek-r1-distill-llama-8b,9d796eb3d89f9b6a737d257bbfbffabf7636c5b3944df80adbb9da71eeae7d5a,0.2,0.2,25,5
deepseek-r1-distill-llama-8b,9dcaf5ddd5343c427496b9fa556dc646ece6baaec7ff28ed6826f6d56b7ea6d0,0.8421052631578947,1.0,19,8
