model,case_id,trace_id,base_is_correct,n_sentences,delta,commits,commit_boundary,depth,tvd_at_commit,n_distinct,top_share,second_share,top_two_share,n_over_10pct,effective_n
deepseek-r1-distill-qwen-1.5b,0148cedaed162d8c1591e7dad5de6dec,c6482395954871c37d60f36d233dcd579e00065383303710a4be205bbdaa4eb8,False,11,0.5,1,10,0.8877551020408163,0.368421052631579,3,0.631578947368421,0.3157894736842105,0.9473684210526315,2,2.2461226729344785
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.05,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.15,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.2,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.25,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.3,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.35,1,13,0.7297297297297297,0.3157894736842105,2,0.6842105263157895,0.3157894736842105,1.0,2,1.865734575047933
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.4,1,13,0.7297297297297297,0.3157894736842105,2,0.6842105263157895,0.3157894736842105,1.0,2,1.865734575047933
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.45,1,13,0.7297297297297297,0.3157894736842105,2,0.6842105263157895,0.3157894736842105,1.0,2,1.865734575047933
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,87cc6962263e6fb1fa5257f65e0bf076859f887cd6d0d47a2bfbb414e6e32b63,True,17,0.5,1,13,0.7297297297297297,0.3157894736842105,2,0.6842105263157895,0.3157894736842105,1.0,2,1.865734575047933
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.05,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.15,1,13,0.825,0.14999999999999997,2,0.8,0.2,1.0,2,1.6493848884661177
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.2,1,13,0.825,0.14999999999999997,2,0.8,0.2,1.0,2,1.6493848884661177
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.25,1,12,0.784375,0.25,2,0.95,0.05,1.0,1,1.2195906179141718
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.3,1,11,0.721875,0.26578947368421046,3,0.6842105263157895,0.2631578947368421,0.9473684210526316,2,2.151009650037733
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.35,1,10,0.65625,0.3157894736842105,2,0.9444444444444444,0.05555555555555555,1.0,1,1.239315430729068
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.4,1,10,0.65625,0.3157894736842105,2,0.9444444444444444,0.05555555555555555,1.0,1,1.239315430729068
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.45,1,10,0.65625,0.3157894736842105,2,0.9444444444444444,0.05555555555555555,1.0,1,1.239315430729068
deepseek-r1-distill-qwen-1.5b,02b15d84011aa2ed96dcb904e63129bb,0f06f6990d5d116905f7015cfdb32c45450e9c9707c1751eef1a8d35e92680df,False,16,0.5,1,9,0.596875,0.5,5,0.5,0.25,0.75,3,3.5869003082461846
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.05,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.1,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.15,0,-1,nan,nan,nan,nan,nan,nan,nan,nan
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.2,1,8,0.6241379310344828,0.2,4,0.7,0.2,0.8999999999999999,2,2.389617402754467
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.25,1,8,0.6241379310344828,0.2,4,0.7,0.2,0.8999999999999999,2,2.389617402754467
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.3,1,8,0.6241379310344828,0.2,4,0.7,0.2,0.8999999999999999,2,2.389617402754467
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.35,1,8,0.6241379310344828,0.2,4,0.7,0.2,0.8999999999999999,2,2.389617402754467
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.4,1,8,0.6241379310344828,0.2,4,0.7,0.2,0.8999999999999999,2,2.389617402754467
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.45,1,8,0.6241379310344828,0.2,4,0.7,0.2,0.8999999999999999,2,2.389617402754467
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,a4a5eace3266797d140ed765b79af36db63dc56eb7080c8bf39e5076e528db34,True,13,0.5,1,8,0.6241379310344828,0.2,4,0.7,0.2,0.8999999999999999,2,2.389617402754467
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,0.05,1,9,0.7046979865771812,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,0.1,1,9,0.7046979865771812,0.0,1,1.0,0.0,1.0,1,1.0
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,0.15,1,8,0.5771812080536913,0.15,4,0.85,0.05,0.9,1,1.799485752639783
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,0.2,1,6,0.41946308724832215,0.15000000000000002,3,0.85,0.1,0.95,2,1.6789795750133603
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,0.25,1,6,0.41946308724832215,0.15000000000000002,3,0.85,0.1,0.95,2,1.6789795750133603
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,0.3,1,6,0.41946308724832215,0.15000000000000002,3,0.85,0.1,0.95,2,1.6789795750133603
deepseek-r1-distill-qwen-1.5b,07dbd8eabfba4b1d9d665331dea90335,8f06066e2ff4a57947358486c2d012cc162e70a54f6817cdda1c480c2fe2ea0b,False,12,0.35,1,6,0.41946308724832215,0.15000000000000002,3,0.85,0.1,0.95,2,1.6789795750133603
